,Station Name,Latitude,Longitude,Checkout Count
0,10th St. and E Brookside Ave.,39.78142,-86.13709,1171
1,13th St. and Delaware,39.78458,-86.1539,1084
2,16th St. and Delaware - Harrison Center,39.78806,-86.15396,1101
3,16th St. and Monon Trail,39.78856,-86.14005,1865
4,54th St. and Monon Trail,39.8511,-86.14061,2983
5,Athenaeum,39.77383,-86.15043,3711
6,Bankers Life Fieldhouse,39.7651,-86.1565,1006
7,Broad Ripple - Westfield and College,39.87002,-86.14594,1603
8,Broad Ripple - Westfield and Monon Trail,39.87118,-86.14168,4197
9,Canal Playspace,39.77745,-86.16469,5904
10,Canal Towpath at Newfields,39.82757,-86.18697,1380
11,Canal Towpath at Westfield and Illinois,39.85589,-86.15965,621
12,Central Library,39.77803,-86.15631,1586
13,City County Building,39.76724,-86.15432,2091
14,City Market,39.76866,-86.15284,1936
15,Convention Center - Maryland and Capitol,39.76593,-86.16216,937
16,Convention Center at Georgia Street,39.76423,-86.16161,957
17,Eskenazi Health,39.77639,-86.18302,949
18,Fall Creek and 30th Park,39.80926,-86.14402,1235
19,Fletcher Place - Virginia and Merrill,39.75852,-86.14661,2213
20,Fletcher Place - Virginia and Norwood,39.75737,-86.14546,2677
21,Fountain Square,39.75239,-86.13997,2549
22,Fountain Square - Cottage and Shelby,39.74779,-86.139812,573
23,Garfield Park at Southern and Shelby,39.7304,-86.13979,1369
24,Gibson Building,39.77332,-86.16139,2558
25,Glick Peace Walk,39.77666,-86.16127,1427
26,Indiana Government Center,39.76735,-86.16473,1692
27,IUPUI at Michigan St. and Barnhill,39.77451,-86.17848,1394
28,IUPUI Campus Center,39.77338,-86.17543,1181
29,Mass Ave. and Alabama,39.77224,-86.1526,3536
30,Mass Ave. and College,39.77759,-86.14545,1724
31,Mass Ave. and Park,39.77645,-86.1473,2425
32,Michigan St. and Blackford,39.77474,-86.16981,902
33,Michigan St. and Highland,39.77378,-86.13725,800
34,Michigan St. and N White River Pkwy.,39.77462,-86.1895,2133
35,Michigan St. and Senate,39.77415,-86.16351,3076
36,Monument Circle,39.76885,-86.15736,4136
37,North and Alabama,39.7756,-86.1522,3515
38,North End of Canal,39.78131,-86.16627,3271
39,North End of Mass Ave.,39.77964,-86.14212,1297
40,Ohio St. and Meridian,39.77001,-86.15776,2821
41,One America Building,39.77009,-86.16048,930
42,Riverside Park at Burdsal and E. Riverside Pkwy.,39.8009,-86.19122,576
43,South St. and Delaware,39.76142,-86.15498,1476
44,State Fairgrounds at 38th St. and Monon Trail,39.82574,-86.14012,312
45,Victory Field,39.76595,-86.16689,1234
46,Virginia and Louisiana,39.76272,-86.15137,1668
47,Washington and Capitol,39.76723,-86.16189,3080
48,Washington and Meridian,39.76718,-86.15833,3595
49,White River State Park,39.76845,-86.17022,4924
