Station Name,Latitude,Longitude
10th St. and E Brookside Ave.,39.78142,-86.13709
13th St. and Delaware,39.78458,-86.1539
16th St. and Delaware - Harrison Center,39.78806,-86.15396
16th St. and Monon Trail,39.78856,-86.14005
54th St. and Monon Trail,39.8511,-86.14061
Athenaeum,39.77383,-86.15043
Bankers Life Fieldhouse,39.7651,-86.1565
Broad Ripple - Westfield and College,39.87002,-86.14594
Broad Ripple - Westfield and Monon Trail,39.87118,-86.14168
Canal Playspace,39.77745,-86.16469
Canal Towpath at Newfields,39.82757,-86.18697
Canal Towpath at Westfield and Illinois,39.85589,-86.15965
Central Library,39.77803,-86.15631
City County Building,39.76724,-86.15432
City Market,39.76866,-86.15284
Convention Center - Maryland and Capitol,39.76593,-86.16216
Convention Center at Georgia Street,39.76423,-86.16161
Eskenazi Health,39.77639,-86.18302
Fall Creek and 30th Park,39.80926,-86.14402
Fletcher Place - Virginia and Merrill,39.75852,-86.14661
Fletcher Place - Virginia and Norwood,39.75737,-86.14546
Fountain Square,39.75239,-86.13997
Fountain Square - Cottage and Shelby,39.74779,-86.139812
Garfield Park at Southern and Shelby,39.7304,-86.13979
Gibson Building,39.77332,-86.16139
Glick Peace Walk,39.77666,-86.16127
Indiana Government Center,39.76735,-86.16473
IUPUI at Michigan St. and Barnhill,39.77451,-86.17848
IUPUI Campus Center,39.77338,-86.17543
Mass Ave. and Alabama,39.77224,-86.1526
Mass Ave. and College,39.77759,-86.14545
Mass Ave. and Park,39.77645,-86.1473
Michigan St. and Blackford,39.77474,-86.16981
Michigan St. and Highland,39.77378,-86.13725
Michigan St. and N White River Pkwy.,39.77462,-86.1895
Michigan St. and Senate,39.77415,-86.16351
Monument Circle,39.76885,-86.15736
North and Alabama,39.7756,-86.1522
North End of Canal,39.78131,-86.16627
North End of Mass Ave.,39.77964,-86.14212
Ohio St. and Meridian,39.77001,-86.15776
One America Building,39.77009,-86.16048
Riverside Park at Burdsal and E. Riverside Pkwy.,39.8009,-86.19122
South St. and Delaware,39.76142,-86.15498
State Fairgrounds at 38th St. and Monon Trail,39.82574,-86.14012
Victory Field,39.76595,-86.16689
Virginia and Louisiana,39.76272,-86.15137
Washington and Capitol,39.76723,-86.16189
Washington and Meridian,39.76718,-86.15833
White River State Park,39.76845,-86.17022
